DMSO;3uM;6uM;12.5uM
0.675472;0.838868;0.238868;0.189811
0.17717;0.212453;1.530189;0.593396
0.216038;0.408302;0.208679;0.21
0.576604;1.006415;2.377358;1.747547
0.196604;0.29;1.299057;0.823774
0.167736;0.360377;2.653962;1.887736
0.373208;0.27434;0.238868;0.151509
0.328868;0.203208;1.530189;0.155849
0.37566;0.817547;0.208679;0.860943
0.241321;0.248113;2.377358;1.719623
0.16434;0.247547;1.299057;2.549434
0.219245;0.200189;2.653962;1.73
0.383208;1.593208;1.878868;0.936604
0.129245;0.964906;1.423962;2.258679
0.340377;0.725094;0.392075;0.198679
0.185472;0.195849;1.493396;1.349623
0.180566;0.195472;1.963774;1.817925
0.218868;0.157547;0.977736;2.570755
0.181321;1.025472;0.197736;0.217358
0.13283;0.821132;0.148491;0.149623
0.126038;0.148113;3.407736;2.356415
0.184151;0.142642;2.080377;0.592264
0.051887;0.455283;2.568491;0.223208
0.176226;0.24717;0.202264;0.636038
0.178679;0.251509;0.162075;0.584528
0.214528;0.131509;2.314717;0.283585
0.28717;0.169623;1.467925;2.214528
0.273585;0.220566;1.924528;0.634151
0.156792;0.117547;2.00434;2.049057
0.210755;0.66566;2.247547;0.127547
0.129811;0.157925;3.47566;1.755472
0.200377;0.193396;0.143585;1.81434
0.221132;0.392075;1.098679;1.389811
0.146604;1.394906;1.434528;0.463774
0.141887;0.132453;2.880566;0.124906
0.30717;0.177547;3.962642;0.643208
0.318868;0.077358;0.830189;0.517925
0.178679;0.336038;1.878868;0.775283
0.406981;0.118302;1.667358;2.08566
0.769245;0.167358;1.161509;0.143208
0.331321;2.205472;0.326226;0.991132
0.187547;3.365283;0.224906;0.997358
0.260755;0.159623;3.172642;0.305094
0.079245;0.159434;1.533208;1.237358
0.183208;0.274717;0.293962;0.425283
0.388491;2.243019;2.442264;0.603585
0.333774;2.885849;2.394717;0.181698
0.49566;0.150189;0.075094;2.238113
0.213962;0.894717;1.277358;0.206604
0.295472;1.417736;0.174717;1.078302
0.286604;0.216604;0.275094;0.205094
0.699811;2.118302;0.197736;
0.17434;1.365472;0.568868;
0.13434;2.251321;1.980943;
0.301509;0.182453;0.94283;
0.22283;0.153396;0.140943;
0.275283;0.133585;0.945094;
0.168113;0.178868;2.511321;
0.23717;0.955094;2.542642;
0.318868;0.236038;2.643019;
0.2;2.12;1.946038;
0.231321;2.519434;2.841887;
0.231698;0.189434;0.838302;
0.315094;3.532264;2.429434;
0.177547;0.107358;1.893396;
0.14;2.570566;0.143585;
0.18566;0.076981;0.167925;
0.146226;;2.272642;
0.209245;;1.111509;
;;3.180189;
;;1.309811;
;;0.105094;
;;0.247547;
;;2.452264;
;;0.196792;
;;0.152264;
;;0.157358;
;;0.225849;
;;0.189057;
;;2.940755;
;;2.394906;
;;1.951509;
;;0.135283;
;;0.153585;
;;0.080189;
